0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:03:07 -0300] "GET /Loja/assets/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:03:09 -0300] "POST /Loja/index.jsp/autenticar.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:03:09 -0300] "GET /Loja/index.jsp/telausuario.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:03:10 -0300] "GET /Loja/index.jsp/promocoes.html HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [08/Aug/2023:00:03:11 -0300] "GET /Loja/index.jsp/inserirPromocao.jsp HTTP/1.1" 200 2079
127.0.0.1 - - [08/Aug/2023:00:05:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:05:36 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:05:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:05:36 -0300] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [08/Aug/2023:00:05:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [08/Aug/2023:00:05:36 -0300] "GET /manager/text/ HTTP/1.1" 200 39
